timestamp,feedback_operation,environment,region,instance_id,request_id,request_method,request_path,client_id,client_type,source_ip,response_status_code,response_time_ms,user_id,anonymous,booking_id,review_id,correlation_id,is_anomalous
2025-03-30T19:58:56.524097,update_review,test,us-west,feedback-primary-us-west-1,req-aeb2106792c24237,PUT,/api/feedback/reviews/review-1038b380,client-593e407f,mobile-ios,70.72.187.232,200,153.0,9e8f32d0-5327-426b-92e4-6d430e3b0c51,False,booking-19c432ae,review-1038b380,e657eecf-b5b5-4742-a17f-dce5819f8ab2,False
2025-03-21T00:06:49.515544,update_review,production,eu-central,feedback-backup-eu-central-4,req-204a50a4265e4a82,PUT,/api/feedback/reviews/review-609d4b0c,client-c9660c2f,web-app,16.187.198.13,201,150.0,1590fab3-f7ae-4f10-bd55-aa0edf7f1108,False,booking-f41386b9,review-609d4b0c,3adb673a-6c1c-4da8-9a54-df6e08879b86,False
2025-03-21T19:24:12.574850,submit_review,dev,global,feedback-backup-global-3,req-bd43e0263f3d4cd5,POST,/api/feedback/reviews,client-dd413a56,partner-api,128.32.218.101,204,181.0,a22fb7fb-36b1-403a-add7-6a6f74109736,False,booking-d8d90048,review-13562a8d,32b22e91-ef26-4c1a-87c9-e68315ebf448,False
2025-04-03T20:57:52.527094,respond_to_feedback,test,eu-central,feedback-backup-eu-central-4,req-9c272e1eb6b44bbb,PUT,/api/feedback/reviews/review-4764807a/responses,client-3e7a75f0,mobile-android,22.111.65.154,200,172.0,cb4927de-fe2f-438f-ad3a-a0aa2f339553,False,booking-d8586f71,review-4764807a,6bf0cf2b-e4c1-44e9-b446-6ea523908698,False
2025-03-21T17:04:54.532637,submit_complaint,dev,eu-central,feedback-primary-eu-central-1,req-f0250a05d70640b5,POST,/api/feedback/complaints,client-9b6eb2a0,web-app,18.67.232.56,204,228.0,6871c99e-bbd2-4050-83c4-beb995c857c0,False,booking-0f02fc5e,review-304b36fe,9c4591d8-ce51-4bdf-a34e-952af2158629,False
2025-03-20T05:24:12.322500,submit_review,test,us-west,feedback-backup-us-west-5,req-caa6426ee4ce4a95,POST,/api/feedback/reviews,client-7872a415,web-app,46.12.136.28,200,238.0,16baf798-1da1-479a-ba25-6e8f5bcfce2a,False,booking-90ad15ac,review-bf0fb469,632ca3ce-4a16-4563-a6f8-e2c7cc386791,False
2025-04-15T07:24:18.720802,get_review,staging,eu-central,feedback-primary-eu-central-5,req-88bd6f1351d7494a,GET,/api/feedback/reviews/review-db9a0eec,client-815a6c58,internal,186.191.148.71,200,52.0,ae8c972b-0c53-4f72-8c8b-4c731809fcf1,False,booking-7423cec6,review-db9a0eec,92bc55ae-fb54-4289-8911-abaff7324e3c,False
2025-03-21T05:24:21.196564,get_review,test,us-west,feedback-backup-us-west-5,req-607594ec646c4cd2,GET,/api/feedback/reviews/review-8dc48a2b,client-99a20b76,mobile-android,58.77.31.87,200,44.0,b3311597-c8c1-4cac-a1a6-853d1000be6f,False,booking-ea1b482f,review-8dc48a2b,a182f87c-e370-4818-98bb-9aa6e4ceeb69,False
2025-03-31T06:24:17.452813,submit_review,dev,eu-central,feedback-backup-eu-central-2,req-963c183888c14881,POST,/api/feedback/reviews,client-8cf2c6b5,partner-api,33.182.235.132,201,210.0,fbee56e1-7c72-4c18-97f4-cd338dbce0ee,False,booking-4a734815,review-03df0c78,26ba7156-a360-49b7-ac8d-808d21f28785,False
2025-04-03T01:32:47.513546,submit_rating,staging,us-west,feedback-backup-us-west-4,req-4b648a991657403d,POST,/api/feedback/ratings,client-5942e74e,partner-api,113.30.190.111,200,86.0,03ebdcbc-ffa1-466c-9c3b-0bbd42e2019b,False,booking-fa35cc77,review-35e661c0,41163a64-01e7-475b-940d-d9eef9893e66,False
