timestamp,gateway_type,gateway_environment,gateway_region,gateway_instance_id,request_id,request_method,request_uri,request_query_string,client_ip,request_size,response_status,response_status_message,response_size,response_error,upstream_service,upstream_host,upstream_port,upstream_latency_ms,route_id,route_path,total_latency_ms,gateway_latency_ms,correlation_id,trace_id,span_id,is_anomalous,user_agent,api_version,client_type
2025-04-03T14:02:52.976399,apigee,staging,us-east,apigee-us-east-6,091173ab-6f0e-4636-90f0-2f937de52615,GET,/api/v1/products/search,,90.74.159.99,3545,204,No Content,0,,product-service,product-service.internal,8081,274.88,route-payment-service-d5b38a,/api/v1/refunds,274.88,24.92,7622b8a4-2b64-4a76-8872-461eb18290c6,trace-fd25daaf1a3c47d3,span-1f40daf2,False,Mozilla/5.0 (Android 10; Mobile; rv:88.0) Gecko/88.0 Firefox/88.0,v3,android
2025-03-27T11:41:44.831398,aws-gateway,dev,global,aws-gateway-global-7,90c57bf4-3ea9-45df-9372-a2ec6681ab16,OPTIONS,/api/v1/cart,,223.143.65.151,6937,204,Success with no body,0,,order-service,order-service.internal,8082,47.06,route-order-service-57eb97,/api/v1/cart,47.06,18.77,42fa7743-d5bb-40b9-bbf4-c260a00edeeb,trace-14b53ba5eec64b0a,span-b7c8a2c1,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",beta,iot
2025-04-16T21:02:44.856398,aws-gateway,dev,global,aws-gateway-global-2,7d320e7b-c556-4962-93bc-cef4557d9b0a,GET,/api/v1/products/search,,7.153.121.64,4998,201,Resource created successfully,22376,,product-service,product-service.internal,8081,114.7,route-product-service-1b63e9,/api/v1/products/search,114.7,19.11,6efcdffe-e065-494d-bfe3-efcc02dcc485,trace-27ce7316312b48ac,span-5217c507,False,Mozilla/5.0 (Android 10; Mobile; rv:88.0) Gecko/88.0 Firefox/88.0,v2,android
2025-03-22T17:02:49.222398,kong,test,us-east,kong-us-east-4,ad226389-22eb-4ae2-9b94-a6ff50c49cfa,POST,/api/v1/auth,,255.17.94.97,9915,200,OK,12489,,user-service,user-service.internal,8080,148.17,route-product-service-a4be33,/api/v1/products,148.17,28.15,92261396-d1ba-4c6d-8b2c-28a4217a92b6,trace-6f60b350df1549ad,span-4566af9a,False,axios/0.21.1,v1,desktop
2025-03-25T05:02:50.513397,apigee,test,us-east,apigee-us-east-9,5d3ef80b-834f-471d-98b2-ba2b7678f941,POST,/api/v1/auth,,6.15.34.235,6380,204,Success with no body,0,,user-service,user-service.internal,8080,90.26,route-product-service-d3699b,/api/v1/products/6a2444f9,90.26,5.87,ef6ba265-5046-42e6-b77d-c1529b8bf509,trace-f95730d748f04c4e,span-57d6e99e,False,okhttp/4.9.1,v2,api
2025-03-30T15:02:54.095399,kong,test,ap-south,kong-ap-south-9,31e9bd76-ae11-43d0-93e8-9b96c565dd7e,POST,/api/v1/payments,,177.132.54.140,8209,201,Resource created successfully,47090,,payment-service,payment-service.internal,8083,224.56,route-order-service-d51079,/api/v1/orders/89af5189,224.56,1.67,93b54985-b7d1-4767-961a-a8ab647b3af6,trace-58bbe124a7f04338,span-d62d462a,False,axios/0.21.1,v1,api
2025-04-17T03:29:39.877398,apigee,test,us-east,apigee-us-east-1,3a09e0d0-4cb5-4fe8-8683-1a04bbe20781,HEAD,/api/v1/emails,,40.80.201.50,2364,201,Resource created successfully,48365,,notification-service,notification-service.internal,8084,86.9,route-notification-service-352242,/api/v1/emails,86.9,27.43,c552b8df-affe-4840-8ada-7e5565cff47f,trace-66eb86bdab524488,span-c175cfc5,False,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",v2,iot
2025-03-22T18:02:53.453398,custom-gateway,dev,eu-west,custom-gateway-eu-west-9,81599eb1-093d-401b-85ff-313d461fe298,POST,/api/v1/payments,,149.197.24.27,8064,201,Created,46076,,payment-service,payment-service.internal,8083,243.63,route-order-service-c3cf57,/api/v1/orders,243.63,37.26,f4befd6b-419d-47d2-b482-38aaf313e860,trace-c5f84fcefe2948be,span-18ca4458,False,okhttp/4.9.1,v2,android
2025-04-05T00:02:49.713397,kong,staging,global,kong-global-6,fdc70ad5-be7a-4173-9185-14334492f65e,GET,/api/v1/users/faa57380,,17.142.116.7,6122,200,OK,41190,,user-service,user-service.internal,8080,396.83,route-payment-service-20df49,/api/v1/payments/a16c5a76,396.83,17.47,ecb70917-6c58-442c-ba92-1fd0f9161ab7,trace-53b964c5c2214bd7,span-167afc26,False,PostmanRuntime/7.28.0,v1,web
2025-04-04T05:02:53.966400,kong,production,us-east,kong-us-east-6,1430596e-a254-4948-ac64-ee81ebf253e2,POST,/api/v1/payments,,0.145.233.177,4452,200,Success,25741,,payment-service,payment-service.internal,8083,81.14,route-user-service-8eece4,/api/v1/users/fdd06c51,81.14,7.13,0c143c4b-8ff2-4f22-8b0a-2ff208194fb5,trace-cd1e964fd6aa4aef,span-87f0e960,False,axios/0.21.1,v3,web
