timestamp,service_type,service_environment,request_method,request_path,request_source_ip,response_status_code,response_size,response_time_ms,error_message,error_code,correlation_id,trace_id,span_id,parent_id,cpu_usage,memory_usage,active_connections,is_anomalous,metadata_service_name,metadata_service_version,metadata_environment,metadata_instance_id,metadata_region,metadata_deployed_at,metadata_cloud_provider,metadata_instance_type,metadata_auto_scaling_group,header_Accept,header_Content-Type,header_X-Service-Name,header_X-Service-Version,header_X-Request-ID,header_X-API-Key,metadata_datacenter,metadata_rack,metadata_server
2025-03-23T04:00:41.702044,product-service,aws-cloud,GET,/products/search,146.247.112.114,201,7291,178.55,,,svc-fdb7ff59-7bbe-d30a,trace-aa471558703040ae,span-bf15546e,parent-8f490c34,47.25,42.95,564,False,product-service,v1,aws-cloud,inst-34f43679,us-west,2025-01-31T08:00:41.285045,aws,aws-medium,asg-product-service-cd1a78,application/json,application/json,product-service,v1,6d3891ee-396c-4d65-8177-0ab8a9ee5df0,,,,
2025-03-29T05:04:38.224043,user-service,aws-cloud,GET,/users,29.35.36.230,204,0,107.42,,,svc-fac836e1-f762-61ea,trace-0d39a07d0bb7468d,span-7abc75f9,parent-63eea97e,34.08,67.49,503,False,user-service,v2,aws-cloud,inst-0ac48e6d,eu-central,2025-03-20T08:00:41.225044,aws,aws-large,asg-user-service-a104eb,application/json,application/json,user-service,v2,71d70025-fd9f-41d2-ad0c-36dc64d9b28d,svc-key-0685818a7be8489a,,,
2025-04-01T02:25:31.230044,product-service,gcp-cloud,POST,/products/categories,180.105.141.179,201,3744,53.55,,,svc-f5f06ca5-972f-6218,trace-69c89534cc574df3,span-b100ffa0,parent-bc9b352f,73.95,76.61,69,False,product-service,v2,gcp-cloud,inst-60808dc0,ap-south,2025-02-26T08:00:41.231044,gcp,gcp-small,asg-product-service-651c31,application/json,application/json,product-service,v3,1db8afa9-949d-4102-a288-46768ff9ad54,,,,
2025-03-30T05:11:09.252043,auth-service,on-premise,DELETE,/revoke-token,171.150.38.151,201,1876,429.31,,,svc-3fe04ac2-97b6-e6d0,trace-f277ee5f7e304049,span-8b3cacc7,parent-4dfc1ad7,32.53,87.67,897,False,auth-service,v2,on-premise,inst-2a05cc75,eu-central,2025-03-07T08:00:41.252043,,,,application/json,application/json,auth-service,v1,66e6f78e-ad1f-4b9a-8f93-bab667e8d265,svc-key-c8c50437ce9a40aa,dc-central,rack-15,srv-875
2025-03-29T05:56:22.227044,order-service,gcp-cloud,DELETE,/orders/history,222.67.30.6,200,9544,42.56,,,svc-15bd6f48-6f91-43ba,trace-9b5d76950c0f438e,span-9d044cca,,54.04,41.29,170,False,order-service,v3,gcp-cloud,inst-396bdbcd,us-west,2025-03-31T08:00:41.227044,gcp,gcp-medium,asg-order-service-d1c164,application/json,application/json,order-service,v2,e6213e06-ff12-4af0-ba1f-479dc6ffa21f,,,,
2025-04-03T14:00:41.709044,payment-service,gcp-cloud,POST,/payments/process,193.79.91.159,200,5743,71.98,,,svc-1e6b6d8f-574f-1d17,trace-c7ba03445dc1400a,span-29993c71,,33.49,74.81,789,False,payment-service,v3,gcp-cloud,inst-a23b6d2a,us-west,2025-01-24T08:00:41.317044,gcp,gcp-small,asg-payment-service-e41259,application/json,application/json,payment-service,v3,4ea24018-f0e4-4dcc-896b-d3b6f9a72dff,svc-key-500d9730777d49e8,,,
2025-03-29T16:00:41.659045,order-service,gcp-cloud,GET,/orders,141.78.70.197,201,7984,64.04,,,svc-d33f4306-e5ec-3a0a,trace-f42049ee9437425d,span-037053e9,parent-765fbd88,26.15,78.15,70,False,order-service,v1,gcp-cloud,inst-55fe7e13,us-east,2025-01-29T08:00:41.283045,gcp,gcp-medium,asg-order-service-fcefe3,application/json,application/json,order-service,v3,d3f222db-fafa-43ac-afee-17a2d3a957d4,,,,
2025-04-16T15:00:41.586044,order-service,gcp-cloud,POST,/orders/status,246.19.174.211,202,9444,87.68,,,svc-910c153f-f007-db24,trace-60bcb524e11748b5,span-4f263db9,,37.46,29.86,410,False,order-service,v2,gcp-cloud,inst-66ba0ce3,eu-central,2025-03-14T08:00:41.308044,gcp,gcp-large,asg-order-service-9b146c,application/json,application/json,order-service,v1,b3f52991-f4dc-4546-b6ef-ef4a0a86f979,,,,
2025-04-12T18:02:38.231044,product-service,aws-cloud,POST,/products/0ead267f-7e18-43c9-8b91-9665a5a8fb67,196.213.152.247,202,4914,169.13,,,svc-fd635921-87da-072b,trace-21048fa6df734e0c,span-125de0a5,parent-59131ad7,73.73,68.63,903,False,product-service,v3,aws-cloud,inst-49c0ff1c,ap-south,2025-02-27T08:00:41.231044,aws,aws-medium,asg-product-service-395504,application/json,application/json,product-service,v3,85f52743-2b3f-4867-bc9c-e559b35819b9,,,,
2025-04-04T21:47:12.221044,product-service,azure-cloud,PUT,/products/categories,63.77.245.97,204,0,65.41,,,svc-71dfd11f-40da-5dc3,trace-8a4f7bd619c940e2,span-a09764a7,,62.81,36.7,489,False,product-service,v1,azure-cloud,inst-850f9cfd,eu-central,2025-03-19T08:00:41.221044,azure,azure-large,asg-product-service-6f36c9,application/json,application/json,product-service,v1,a4740b0f-dc0c-474d-a2e4-15338ecf1c5b,,,,
2025-04-15T03:00:41.328045,auth-service,gcp-cloud,POST,/authenticate,22.145.200.58,202,9820,41.19,,,svc-a9856aca-c80c-1254,trace-369ea37e72074442,span-06e02b8a,,25.51,26.05,330,False,auth-service,v3,gcp-cloud,inst-8862cffc,us-east,2025-02-03T08:00:41.279045,gcp,gcp-medium,asg-auth-service-aae99c,application/json,application/json,auth-service,v2,6696a203-90a6-4e6a-8526-7dcc3300ac30,svc-key-087f5a562c004f6e,,,
2025-03-26T22:58:27.225044,order-service,on-premise,POST,/orders,90.170.179.47,201,7567,395.31,,,svc-8b46cd1d-7697-5677,trace-aab9060308c84f68,span-cf34f6b5,parent-8b3657b6,73.07,50.54,475,False,order-service,v1,on-premise,inst-3f22e8f8,us-west,2025-02-27T08:00:41.225044,,,,application/json,application/json,order-service,v2,493eba7f-0e6a-4a0f-b5a4-54fd71344b14,,dc-central,rack-8,srv-612
2025-03-23T19:00:41.603044,user-service,aws-cloud,POST,/users/58075c00-497f-4b8e-9fa6-d262ccacd3f5,143.202.178.169,202,7602,109.48,,,svc-44e383ed-c67d-dcea,trace-d9bfa657595a4c84,span-eb972646,,76.05,74.1,45,False,user-service,v3,aws-cloud,inst-7f001da4,us-east,2025-02-22T08:00:41.297044,aws,aws-small,asg-user-service-06cb77,application/json,application/json,user-service,v1,00d1c90c-02bf-4e0b-9246-76f8c97dd053,svc-key-fd8ee44185204051,,,
2025-04-12T20:00:41.507044,user-service,gcp-cloud,DELETE,/users/c6943ced-7445-4ce3-936c-7d50f7ab421e,198.188.176.208,200,5722,58.97,,,svc-6404c29b-304b-32aa,trace-f187a34548144333,span-24844a4e,,35.2,25.1,313,False,user-service,v2,gcp-cloud,inst-8fd2b8be,us-west,2025-02-08T08:00:41.336044,gcp,gcp-small,asg-user-service-4e1bc2,application/json,application/json,user-service,v2,f8ae24ff-0f38-4b42-a7e6-94c618de2426,svc-key-09bc148df89445cf,,,
2025-04-12T10:00:31.232044,order-service,azure-cloud,POST,/orders/status,130.194.153.240,202,1558,151.93,,,svc-370a68bb-8b81-957a,trace-dff4d1fa00164e10,span-e3e600ac,parent-e0e007c6,83.05,31.68,166,False,order-service,v2,azure-cloud,inst-8269cf67,us-east,2025-02-12T08:00:41.232044,azure,azure-medium,asg-order-service-5a8fa8,application/json,application/json,order-service,v1,89a62387-4224-4f02-9367-1f67913aed84,,,,
2025-04-01T03:00:41.596044,payment-service,on-premise,PUT,/payments/refund,12.129.163.204,200,6728,117.76,,,svc-2fc218ed-92d9-3678,trace-be135586f6074db4,span-21081c88,parent-6fcd514b,85.29,46.45,656,False,payment-service,v2,on-premise,inst-a86bde4a,us-east,2025-02-11T08:00:41.305044,,,,application/json,application/json,payment-service,v2,9571d820-6082-4216-b115-e2630ced45c7,svc-key-91d233d2871f47f7,dc-west,rack-15,srv-126
2025-04-15T17:00:41.844044,payment-service,aws-cloud,GET,/payments,105.209.176.55,201,3955,193.74,,,svc-29778ec5-0739-bdb4,trace-170335d0e9ae4d46,span-9127a8b1,parent-8005444b,48.0,30.29,668,False,payment-service,v3,aws-cloud,inst-50ef822a,us-east,2025-01-17T08:00:41.303043,aws,aws-small,asg-payment-service-9fe882,application/json,application/json,payment-service,v2,24b698c8-daa0-4c9b-9e3a-915c262b7197,svc-key-49c48e67d7544f90,,,
2025-03-26T07:00:41.465044,auth-service,azure-cloud,DELETE,/revoke-token,221.193.108.58,201,8369,111.53,,,svc-3053fd1d-d314-d03b,trace-97c03c4251ba4ee5,span-27de588b,parent-fe66a9e0,94.61,29.67,744,False,auth-service,v1,azure-cloud,inst-81fae929,eu-central,2025-03-05T08:00:41.320044,azure,azure-medium,asg-auth-service-638648,application/json,application/json,auth-service,v3,7c2e8a0a-a06e-4159-b9b4-34e47ddf2e7d,svc-key-dc94c1dceec74b7c,,,
2025-04-12T08:00:41.374044,auth-service,aws-cloud,POST,/authenticate,112.154.220.149,204,0,174.38,,,svc-601ad0df-7297-fc0b,trace-b5482399b68f4c29,span-6ef1ced3,,65.71,56.01,350,False,auth-service,v3,aws-cloud,inst-21d6bdb2,ap-south,2025-02-18T08:00:41.287044,aws,aws-small,asg-auth-service-101d09,application/json,application/json,auth-service,v1,d7addd5d-dadc-4841-afd7-77ca00df0f30,svc-key-2074234f842843be,,,
2025-03-21T16:00:41.650045,product-service,on-premise,GET,/products/search,40.18.105.188,201,9557,373.39,,,svc-57e3e424-717c-c9f3,trace-b24e132f27bd4994,span-35fc285d,parent-bc12135d,15.61,22.2,878,False,product-service,v3,on-premise,inst-2087674e,eu-central,2025-03-21T08:00:41.301045,,,,application/json,application/json,product-service,v2,e8f7bb1d-8b21-4671-8fee-b84acf06412a,,dc-west,rack-2,srv-472
2025-04-10T08:03:07.232044,user-service,aws-cloud,DELETE,/users,186.42.195.217,202,669,134.47,,,svc-f43e04b3-245b-2e39,trace-309c0d1cbba74b14,span-a8b55115,parent-c6082b50,55.03,36.67,508,False,user-service,v2,aws-cloud,inst-f778b31b,us-east,2025-01-22T08:00:41.232044,aws,aws-medium,asg-user-service-077b25,application/json,application/json,user-service,v3,208777c0-baa1-493b-a8cd-e5783f81379b,svc-key-540349f82d4d420c,,,
